	0
0	23
1	9
2	37
3	33
4	7
5	12
6	33
7	37
8	4
9	36
10	36
11	36
12	36
13	36
14	36
15	14
16	14
17	23
18	2
19	1
20	27
21	17
22	37
23	8
24	4
25	33
26	20
27	12
28	17
29	20
30	20
31	9
32	1
33	15
34	34
35	33
36	34
37	17
38	34
39	17
40	17
41	13
42	1
43	1
44	1
45	7
46	1
47	1
48	1
49	17
50	17
51	17
52	4
53	4
54	36
55	36
56	36
57	36
58	36
59	9
60	1
61	9
62	1
63	9
64	9
65	9
66	9
67	9
68	9
69	8
70	33
71	25
72	30
73	1
74	1
75	1
76	2
77	2
78	37
79	1
80	1
81	2
82	20
83	20
84	17
85	1
86	1
87	8
88	37
89	23
90	15
91	15
92	15
93	3
94	3
95	8
96	8
97	8
98	36
99	36
100	36
101	36
102	36
103	36
104	36
105	36
106	36
107	36
108	1
109	36
110	36
111	36
112	36
113	36
114	15
115	15
116	8
117	10
118	10
119	10
120	10
121	10
122	10
123	36
124	36
125	36
126	36
127	36
128	4
129	11
130	33
131	23
132	33
133	23
134	36
135	36
136	36
137	36
138	36
139	8
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	9
149	9
150	9
151	2
152	4
153	12
154	1
155	1
156	1
157	15
158	15
159	15
160	20
161	20
162	20
163	20
164	20
165	25
166	25
167	25
168	25
169	25
170	25
171	4
172	4
173	4
174	4
175	12
176	30
177	9
178	9
179	9
180	9
181	1
182	1
183	1
184	7
185	2
186	2
187	2
188	2
189	10
190	10
191	10
192	10
193	10
194	10
195	10
196	10
197	10
198	10
199	10
200	10
201	10
202	10
203	10
204	17
205	1
206	8
207	8
208	8
209	8
210	8
211	8
212	8
213	8
214	1
215	1
216	1
217	15
218	15
219	15
220	15
221	15
222	15
223	15
224	15
225	15
226	15
227	15
228	15
229	1
230	30
231	30
232	30
233	30
234	30
235	30
236	30
237	30
238	30
239	30
240	8
241	8
242	4
243	17
244	17
245	17
246	22
247	4
248	4
249	8
250	22
251	8
252	22
253	22
254	30
255	30
256	30
257	30
258	7
259	17
260	17
261	17
262	17
263	17
264	17
265	15
266	15
267	15
268	9
269	9
270	9
271	9
272	9
273	9
274	9
275	9
276	2
277	17
278	17
279	17
280	17
281	17
282	17
283	17
284	17
285	17
286	17
287	17
288	17
289	17
290	22
291	4
292	17
293	17
294	17
295	17
296	17
297	17
298	9
299	9
300	33
301	33
302	33
303	33
304	33
305	33
306	33
307	33
308	33
309	37
310	37
311	37
312	37
313	2
314	7
315	2
316	2
317	2
318	2
319	7
320	2
321	7
322	2
323	7
324	2
325	12
326	12
327	12
328	12
329	20
330	20
331	20
332	20
333	12
334	12
335	12
336	12
337	12
338	17
339	17
340	17
341	17
342	9
343	17
344	9
345	9
346	17
347	9
348	9
349	9
350	9
351	9
352	17
353	16
354	7
355	2
356	2
357	2
358	2
359	35
360	35
361	9
362	35
363	9
364	9
365	9
366	35
367	9
368	9
369	35
370	35
371	15
372	15
373	15
374	30
375	30
376	4
377	30
378	22
379	4
380	35
381	9
382	30
383	34
384	17
385	17
386	12
387	12
388	12
389	7
390	2
391	7
392	2
393	1
394	1
395	1
396	1
397	1
398	1
399	12
400	12
401	12
402	30
403	12
404	12
405	7
406	1
407	1
408	31
409	1
410	1
411	1
412	1
413	1
414	7
415	2
416	7
417	2
418	29
419	35
420	35
421	29
422	29
423	29
424	29
425	29
426	9
427	3
428	3
429	3
430	7
431	7
432	1
433	31
434	1
435	1
436	23
437	23
438	23
439	29
440	29
441	23
442	29
443	23
444	29
445	23
446	29
447	29
448	23
449	15
450	15
451	3
452	34
453	17
454	34
455	17
456	17
457	17
458	17
459	4
460	4
461	4
462	18
463	18
464	4
465	4
466	4
467	1
468	9
469	1
470	9
471	1
472	9
473	9
474	9
475	9
476	9
477	2
478	2
479	1
480	1
481	1
482	1
483	1
484	1
485	1
486	2
487	2
488	2
489	2
490	2
491	2
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	1
500	37
501	25
502	25
503	25
504	25
505	25
506	25
507	25
508	25
509	25
510	9
511	9
512	9
513	9
514	9
515	9
516	9
517	9
518	9
519	9
520	9
521	9
522	9
523	9
524	9
525	29
526	29
527	29
528	29
529	29
530	29
531	29
532	29
533	36
534	27
535	9
536	9
537	29
538	29
539	31
540	31
541	1
542	1
543	1
544	9
545	31
546	31
547	37
548	37
549	37
550	7
551	31
552	31
553	35
554	31
555	31
556	30
557	30
558	37
559	37
560	37
561	37
562	37
563	37
564	37
565	37
566	37
567	18
568	30
569	18
570	23
571	23
572	23
573	1
574	1
575	1
576	1
577	1
578	30
579	18
580	18
581	30
582	30
583	35
584	35
585	35
586	12
587	37
588	37
589	37
590	37
591	20
592	20
593	20
594	1
595	1
596	1
597	1
598	1
599	8
600	8
601	8
602	8
603	8
604	8
605	8
606	8
607	8
608	8
609	8
610	8
611	8
612	8
613	8
614	1
615	8
616	8
617	1
618	1
619	1
620	9
621	9
622	9
623	9
624	17
625	17
626	4
627	4
628	4
629	4
630	4
631	4
632	4
633	4
634	4
635	4
636	4
637	4
638	17
639	2
640	7
641	34
642	17
643	2
644	7
645	7
646	2
647	34
648	17
649	7
650	34
651	2
652	17
653	17
654	2
655	2
656	34
657	34
658	7
659	7
660	4
661	9
662	9
663	9
664	9
665	9
666	9
667	4
668	4
669	4
670	34
671	4
672	4
673	3
674	3
675	3
676	3
677	3
678	3
679	3
680	3
681	3
682	3
683	19
684	19
685	37
686	37
687	37
688	37
689	37
690	37
691	37
692	2
693	37
694	37
695	37
696	20
697	20
698	9
699	9
700	1
701	1
702	1
703	7
704	1
705	13
706	19
707	19
708	19
709	19
710	9
711	9
712	9
713	9
714	9
715	9
716	9
717	34
718	34
719	34
720	34
721	17
722	8
723	8
724	8
725	8
726	8
727	8
728	8
729	8
730	8
731	13
732	13
733	13
734	13
735	24
736	12
737	12
738	34
739	34
740	17
741	17
742	17
743	17
744	16
745	4
746	16
747	16
748	16
749	16
750	17
751	17
752	34
753	34
754	17
755	17
756	17
757	17
758	34
759	34
760	34
761	34
762	4
763	17
764	17
765	17
766	17
767	29
768	29
769	29
770	29
771	17
772	17
773	17
774	17
775	13
776	1
777	1
778	1
779	1
780	1
781	1
782	1
783	1
784	2
785	7
786	37
787	2
788	7
789	2
790	37
791	37
792	37
793	37
794	8
795	8
796	8
797	8
798	8
799	30
800	30
801	2
802	23
803	23
804	29
805	29
806	23
807	23
808	2
809	29
810	23
811	29
812	23
813	29
814	29
815	23
816	4
817	4
818	4
819	4
820	4
821	2
822	18
823	18
824	18
825	18
826	1
827	9
828	9
829	9
830	9
831	9
832	9
833	9
834	9
835	20
836	20
837	20
838	20
839	9
840	9
841	9
842	17
843	34
844	34
845	17
846	17
847	17
848	17
849	17
850	17
851	17
852	17
853	17
854	7
855	2
856	2
857	2
858	8
859	8
860	8
861	8
862	7
863	7
864	2
865	31
866	15
867	15
868	15
869	15
870	15
871	15
872	15
873	15
874	15
875	15
876	15
877	15
878	15
879	15
880	15
881	13
882	13
883	13
884	13
885	13
886	13
887	13
888	35
889	35
890	2
891	2
892	2
893	37
894	37
895	14
896	14
897	14
898	14
899	14
900	14
901	14
902	14
903	14
904	14
905	14
906	14
907	14
908	14
909	14
910	14
911	14
912	14
913	14
914	1
915	1
916	1
917	1
918	1
919	1
920	1
921	1
922	1
923	1
924	1
925	1
926	1
927	1
928	1
929	1
930	1
931	1
932	20
933	20
934	20
935	1
936	9
937	1
938	1
939	9
940	9
941	1
942	17
943	10
944	10
945	10
946	10
947	10
948	15
949	15
950	15
951	15
952	15
953	15
954	23
955	23
956	23
957	33
958	33
959	33
960	33
961	33
962	23
963	33
964	33
965	33
966	33
967	33
968	7
969	7
970	7
971	7
972	17
973	17
974	34
975	34
976	17
977	34
978	17
979	17
980	17
981	17
982	17
983	2
984	7
985	2
986	7
987	2
988	2
989	7
990	2
991	7
992	2
993	1
994	1
995	1
996	1
997	25
998	25
999	25
1000	1
1001	1
1002	1
1003	1
1004	1
1005	1
1006	1
